,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
34,239.0,161.0,27.307978843095903,364.171343518858,39.1421389717296,375.5778771293584,7.0,1.0,6.368136290587445,126.03134870302945,-5.293166022240708,-1.401028367599356
35,241.0,162.0,26.654249123977596,364.19600205355,38.64891441971292,375.5748806833623,7.0,1.0,6.258219839603675,126.03503928110358,-5.289832836043024,-1.3972244711591422
36,243.0,163.0,26.287843916494698,364.1985203451736,38.28493538038176,375.48429095542383,7.0,1.0,6.188224682617328,126.02003451787957,-5.3029240938612485,-1.4034356728964357
37,245.0,164.0,25.46055373067465,364.1946807174409,37.49277289901822,375.6645329698892,7.0,1.0,6.0330271353455664,126.05008825784142,-5.316409945433559,-1.4027372318946714
38,247.0,165.0,25.162930226179064,364.2143899418569,37.21757777946045,375.8501359807869,7.0,1.0,5.978132017207121,126.08506737941337,-5.3091521452996,-1.3965976479509756
0,189.0,141.0,3798.075195386407,803.7639771171374,3809.977050707343,814.4498900703626,11.0,1.0,729.1050069173177,275.6956958912037,29.832692093961352,2.5530740519778794
1,192.0,142.0,3798.799922374169,803.4873078323252,3810.667952018245,814.164482418173,11.0,1.0,729.2406712959397,275.5999346352701,29.858759119365743,2.548705478914583
2,195.0,143.0,3799.001036967865,803.4343474908674,3810.8589206364127,814.1595391948838,11.0,1.0,729.2782459370767,275.59006958349835,29.848974274185082,2.5474908834353034
3,198.0,144.0,3799.3528799973938,803.2906174485687,3811.1018944362704,813.9512812756694,11.0,1.0,729.3352492165595,275.5301012641294,29.86435082723455,2.548937099141598
4,201.0,145.0,3799.9985818618143,803.3616900483446,3811.558405252498,813.9356156348076,11.0,1.0,729.4408779317883,275.5395409682407,29.79051906601533,2.5660880515885993
